210 659
1 1 21 202.28 36.41 
2 1 23 296.36 53.35 
3 2 1 205.24 36.94 
4 2 13 132.29 23.81 
5 2 23 198.66 35.76 
6 3 2 115.42 20.78 
7 3 4 90.35 16.26 
8 4 14 108.24 19.48 
9 4 15 151.41 27.25 
10 5 4 122.50 22.05 
11 5 6 94.74 17.05 
12 5 15 102.08 18.37 
13 6 5 94.74 17.05 
14 6 7 116.85 21.03 
15 6 16 102.19 18.39 
16 7 6 116.85 21.03 
17 8 7 103.51 18.63 
18 8 9 106.30 19.13 
19 8 17 106.93 19.25 
20 9 18 130.84 23.55 
21 10 9 97.43 17.54 
22 10 11 120.79 21.74 
23 11 10 120.79 21.74 
24 11 12 101.07 18.19 
25 11 20 92.61 16.67 
26 12 20 133.91 24.10 
27 12 33 194.01 34.92 
28 13 2 132.29 23.81 
29 13 3 108.25 19.49 
30 13 24 101.07 18.19 
31 13 25 132.74 23.89 
32 14 15 106.12 19.10 
33 14 25 87.20 15.70 
34 15 5 102.08 18.37 
35 15 14 106.12 19.10 
36 15 26 107.06 19.27 
37 15 27 142.13 25.58 
38 16 6 102.19 18.39 
39 16 15 89.27 16.07 
40 16 27 111.76 20.12 
41 17 18 101.79 18.32 
42 17 29 108.15 19.47 
43 18 8 144.37 25.99 
44 18 9 130.84 23.55 
45 18 19 112.31 20.22 
46 18 30 89.98 16.20 
47 18 31 136.56 24.58 
48 19 10 75.28 13.55 
49 19 31 106.07 19.09 
50 20 10 142.07 25.57 
51 20 31 151.35 27.24 
52 20 32 120.00 21.60 
53 20 33 144.45 26.00 
54 21 1 202.28 36.41 
55 21 22 105.23 18.94 
56 22 21 105.23 18.94 
57 22 23 106.18 19.11 
58 22 34 90.09 16.22 
59 23 1 296.36 53.35 
60 23 22 106.18 19.11 
61 23 24 109.98 19.80 
62 23 34 131.55 23.68 
63 23 35 154.46 27.80 
64 23 46 228.96 41.21 
65 24 23 109.98 19.80 
66 25 13 132.74 23.89 
67 25 14 87.20 15.70 
68 25 24 86.35 15.54 
69 25 26 123.84 22.29 
70 25 35 147.95 26.63 
71 25 36 134.10 24.14 
72 25 37 157.44 28.34 
73 26 25 123.84 22.29 
74 26 37 86.38 15.55 
75 27 15 142.13 25.58 
76 27 16 111.76 20.12 
77 27 26 103.51 18.63 
78 27 28 112.54 20.26 
79 27 38 121.54 21.88 
80 27 39 149.93 26.99 
81 28 7 199.12 35.84 
82 28 39 107.11 19.28 
83 29 17 108.15 19.47 
84 29 28 94.89 17.08 
85 29 30 96.02 17.28 
86 29 40 109.61 19.73 
87 30 18 89.98 16.20 
88 30 31 115.62 20.81 
89 31 18 136.56 24.58 
90 31 19 106.07 19.09 
91 31 20 151.35 27.24 
92 31 30 115.62 20.81 
93 31 32 106.55 19.18 
94 31 42 143.68 25.86 
95 31 51 302.96 54.53 
96 32 31 106.55 19.18 
97 33 12 194.01 34.92 
98 33 20 144.45 26.00 
99 33 32 94.77 17.06 
100 33 42 131.59 23.69 
101 33 43 107.16 19.29 
102 34 22 90.09 16.22 
103 34 44 168.81 30.39 
104 34 45 117.47 21.15 
105 35 23 154.46 27.80 
106 35 46 161.12 29.00 
107 35 47 164.17 29.55 
108 36 25 134.10 24.14 
109 36 37 116.83 21.03 
110 37 25 157.44 28.34 
111 37 26 86.38 15.55 
112 37 38 96.33 17.34 
113 37 48 101.85 18.33 
114 37 49 149.52 26.91 
115 38 27 121.54 21.88 
116 38 39 117.57 21.16 
117 38 49 85.35 15.36 
118 39 27 149.93 26.99 
119 39 28 107.11 19.28 
120 39 40 88.85 15.99 
121 40 29 109.61 19.73 
122 40 39 88.85 15.99 
123 40 51 95.05 17.11 
124 41 31 128.33 23.10 
125 41 53 93.39 16.81 
126 42 31 143.68 25.86 
127 42 32 92.04 16.57 
128 42 41 102.31 18.42 
129 42 43 107.92 19.42 
130 42 53 162.71 29.29 
131 42 54 130.22 23.44 
132 42 55 170.52 30.69 
133 43 33 107.16 19.29 
134 43 42 107.92 19.42 
135 44 21 216.24 38.92 
136 44 66 222.20 40.00 
137 45 44 126.19 22.71 
138 45 46 85.62 15.41 
139 45 56 107.43 19.34 
140 46 45 85.62 15.41 
141 46 47 220.43 39.68 
142 46 57 110.22 19.84 
143 46 58 144.58 26.02 
144 47 35 164.17 29.55 
145 47 36 103.00 18.54 
146 47 46 220.43 39.68 
147 47 59 103.84 18.69 
148 48 47 81.29 14.63 
149 49 38 85.35 15.36 
150 49 48 127.09 22.88 
151 49 50 96.62 17.39 
152 49 61 114.69 20.65 
153 49 62 149.54 26.92 
154 50 39 105.75 19.04 
155 50 49 96.62 17.39 
156 51 31 302.96 54.53 
157 51 39 133.96 24.11 
158 51 40 95.05 17.11 
159 51 50 90.99 16.38 
160 52 51 116.41 20.95 
161 53 41 93.39 16.81 
162 53 42 162.71 29.29 
163 53 52 106.33 19.14 
164 53 54 109.06 19.63 
165 53 63 142.12 25.58 
166 54 55 115.68 20.82 
167 55 42 170.52 30.69 
168 55 43 128.85 23.19 
169 56 45 107.43 19.34 
170 56 46 137.13 24.68 
171 56 66 155.19 27.93 
172 56 67 101.00 18.18 
173 57 58 101.98 18.36 
174 58 57 101.98 18.36 
175 58 70 163.37 29.41 
176 59 47 103.84 18.69 
177 59 58 118.94 21.41 
178 59 60 96.09 17.30 
179 59 70 104.36 18.78 
180 60 48 118.32 21.30 
181 60 59 96.09 17.30 
182 60 71 119.92 21.58 
183 61 49 114.69 20.65 
184 61 60 107.02 19.26 
185 62 49 149.54 26.92 
186 62 50 102.97 18.53 
187 62 73 103.77 18.68 
188 62 74 148.72 26.77 
189 63 52 90.71 16.33 
190 63 74 154.43 27.80 
191 63 75 128.37 23.11 
192 64 53 110.00 19.80 
193 64 65 213.68 38.46 
194 64 76 101.97 18.35 
195 65 55 87.37 15.73 
196 65 64 213.68 38.46 
197 65 78 119.34 21.48 
198 66 44 222.20 40.00 
199 66 56 155.19 27.93 
200 66 67 117.12 21.08 
201 66 80 149.47 26.90 
202 67 56 101.00 18.18 
203 67 66 117.12 21.08 
204 67 68 107.58 19.37 
205 67 80 106.49 19.17 
206 68 57 89.32 16.08 
207 68 67 107.58 19.37 
208 68 69 103.55 18.64 
209 68 80 161.14 29.01 
210 69 68 103.55 18.64 
211 69 70 96.96 17.45 
212 69 82 80.57 14.50 
213 70 58 163.37 29.41 
214 70 71 101.38 18.25 
215 70 83 95.77 17.24 
216 71 72 88.00 15.84 
217 72 61 121.16 21.81 
218 72 71 88.00 15.84 
219 72 73 115.66 20.82 
220 72 94 211.28 38.03 
221 73 62 103.77 18.68 
222 73 72 115.66 20.82 
223 73 74 108.05 19.45 
224 73 95 247.91 44.62 
225 74 51 206.20 37.12 
226 74 62 148.72 26.77 
227 74 75 115.07 20.71 
228 74 84 104.34 18.78 
229 75 63 128.37 23.11 
230 75 74 115.07 20.71 
